Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 16 Enplanements,CY 15 Enplanements,percent_change
48,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,"3,986,114","3,890,681",2.45%
49,GL,OH,CMH,Columbus,John Glenn Columbus International,P,M,"3,567,864","3,312,496",7.71%
50,WP,HI,OGG,Kahului,Kahului,P,M,"3,352,813","3,220,753",4.10%
51,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,"3,327,536","3,229,897",3.02%
52,SO,KY,CVG,Greater Cincinnati  ,Cincinnati/Northern Kentucky International,P,M,"3,269,979","3,054,991",7.04%
53,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,"3,100,624","3,113,591",-0.42%
54,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"2,982,194","2,926,054",1.92%
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"2,729,129","2,716,473",0.47%
56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,563,524","2,525,893",1.49%
57,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,"2,341,719","2,323,883",0.77%
58,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,"2,313,724","2,336,431",-0.97%
59,CE,NE,OMA,Omaha,Eppley Airfield,P,M,"2,127,387","2,046,179",3.97%
60,WP,CA,ONT,Ontario,Ontario International,P,M,"2,104,625","2,089,801",0.71%
61,WP,CA,BUR,Burbank,Bob Hope,P,M,"2,077,892","1,973,897",5.27%
62,SO,TN,MEM,Memphis,Memphis International,P,S,"2,016,089","1,873,716",7.60%
63,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,"1,811,695","1,669,988",8.49%
64,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,"1,803,000","1,763,676",2.23%
65,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,"1,796,473","1,803,188",-0.37%
66,EA,VA,RIC,Highland Springs,Richmond International,P,S,"1,777,648","1,740,391",2.14%
67,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,"1,771,864","1,669,876",6.11%
68,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,"1,633,507","1,487,777",9.80%
69,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,"1,631,494","1,640,297",-0.54%
70,EA,VA,ORF,Norfolk,Norfolk International,P,S,"1,602,631","1,515,200",5.77%
71,WP,AZ,TUS,Tucson,Tucson International,P,S,"1,594,594","1,549,253",2.93%
72,NM,WA,GEG,Spokane,Spokane International,P,S,"1,570,652","1,515,351",3.65%
73,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,"1,569,602","1,485,777",5.64%
74,WP,HI,LIH,Lihue,Lihue,P,S,"1,458,940","1,491,688",-2.20%
75,WP,GU,GUM,Tamuning,Guam International,P,S,"1,444,299","1,420,500",1.68%
76,SW,TX,ELP,El Paso,El Paso International,P,S,"1,414,376","1,381,392",2.39%
77,EA,NY,ALB,Albany,Albany International,P,S,"1,388,860","1,276,793",8.78%
78,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,"1,386,357","1,220,937",13.55%
79,SW,OK,TUL,Tulsa,Tulsa International,P,S,"1,342,315","1,359,582",-1.27%
80,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,"1,334,979","1,280,803",4.23%
81,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,"1,321,675","1,209,382",9.29%
82,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,"1,304,467","1,325,897",-1.62%
83,CE,IA,DSM,Des Moines,Des Moines International,P,S,"1,216,357","1,156,462",5.18%
84,EA,NY,ROC,Rochester,Greater Rochester International,P,S,"1,186,002","1,177,994",0.68%
85,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,"1,056,265","980,531",7.72%
86,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,"1,019,922","1,041,759",-2.10%
87,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,"995,801","947,728",5.07%
88,NE,NH,MHT,Manchester,Manchester,P,S,"995,403","1,026,349",-3.02%
89,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,"991,276","955,097",3.79%
90,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,"988,496","987,732",0.08%
91,SW,AR,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,"958,824","958,510",0.03%
92,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,"944,849","899,859",5.00%
93,SO,FL,PIE,Clearwater,St Pete-Clearwater International,P,S,"915,672","819,974",11.67%
94,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,"903,155","826,640",9.26%
95,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,"887,103","848,390",4.56%
96,NE,ME,PWM,Portland,Portland International Jetport,P,S,"886,343","858,449",3.25%
97,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,"848,261","848,249",0.00%
98,SO,FL,PNS,Pensacola,Pensacola International,P,S,"792,916","787,916",0.63%
99,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower National,P,S,"781,944","773,550",1.09%
100,EA,NY,HPN,White Plains,Westchester County,P,S,"766,170","757,466",1.15%
101,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,"761,298","695,008",9.54%
102,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,"729,382","706,098",3.30%
103,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,"705,731","666,187",5.94%
104,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,"685,553","759,335",-9.72%
105,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,"673,810","629,905",6.97%
106,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,"657,694","593,246",10.86%
107,WP,HI,ITO,Hilo,Hilo International,P,S,"640,757","627,171",2.17%
108,SO,KY,LEX,Lexington,Blue Grass,P,S,"638,316","606,980",5.16%
109,EA,NY,ISP,Islip,Long Island MacArthur,P,S,"597,133","603,653",-1.08%
110,NE,VT,BTV,Burlington,Burlington International,P,S,"593,311","581,143",2.09%
111,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,"589,860","607,449",-2.90%
112,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,"589,511","587,049",0.42%
113,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,"589,091","587,967",0.19%
114,SO,FL,PGD,Punta Gorda,Punta Gorda,P,S,"558,482","421,162",32.61%
115,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,"553,658","533,575",3.76%
116,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,"553,245","512,042",8.05%
117,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,"547,786","557,383",-1.72%
118,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"538,881","493,443",9.21%
119,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,"527,801","519,785",1.54%
120,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,"510,105","493,530",3.36%
121,SO,MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,"491,464","497,042",-1.12%
122,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,"483,224","447,813",7.91%
123,SW,TX,MAF,Midland,Midland International Air And Space Port,P,S,"471,490","518,509",-9.07%
124,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,"462,126","447,843",3.19%
125,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,"448,093","443,239",1.10%
126,SO,FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,S,"440,002","373,072",17.94%
127,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,"434,302","428,704",1.31%
128,WP,MP,GSN,Saipan,Francisco C Ada/Saipan International,P,S,"430,275","455,232",-5.48%
129,NM,MT,BIL,Billings,Billings Logan International,P,S,"423,213","420,426",0.66%
130,SO,TN,CHA,Chattanooga,Lovell Field,P,S,"422,442","393,680",7.31%
131,AL,AK,JNU,Juneau,Juneau International,P,S,"420,442","403,538",4.19%
132,SO,NC,AVL,Asheville,Asheville Regional,P,S,"416,939","393,386",5.99%
133,NM,WA,BLI,Bellingham,Bellingham International,P,S,"415,285","447,693",-7.24%
134,SO,NC,ILM,Wilmington,Wilmington International,P,N,"413,185","388,023",6.48%
135,GL,ND,FAR,Fargo,Hector International,P,N,"402,976","437,188",-7.83%
136,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,"401,469","370,187",8.45%
137,GL,MI,FNT,Flint,Bishop International,P,N,"398,508","411,763",-3.22%
138,NM,MT,MSO,Missoula,Missoula International,P,N,"381,582","350,172",8.97%
139,SO,FL,EYW,Key West,Key West International,P,N,"380,505","362,108",5.08%
140,NM,WA,PSC,Pasco,Tri-Cities,P,N,"374,301","348,990",7.25%
141,GL,IL,MLI,Moline,Quad City International,P,N,"364,393","368,114",-1.01%
142,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,N,"364,200","366,102",-0.52%
143,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,"360,369","353,876",1.83%
144,SW,TX,MFE,McAllen,McAllen Miller International,P,N,"355,224","391,687",-9.31%
145,SO,FL,TLH,Tallahassee,Tallahassee International,P,N,"345,404","332,777",3.79%
146,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,"342,495","306,360",11.79%
147,NM,WY,JAC,Jackson,Jackson Hole,P,N,"342,044","313,151",9.23%
148,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,N,"334,815","341,132",-1.85%
149,GL,IN,SBN,South Bend,South Bend International,P,N,"329,957","315,313",4.64%
150,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,N,"329,751","316,511",4.18%
151,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,"325,815","338,312",-3.69%
152,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,"324,511","320,544",1.24%
153,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,"319,206","332,050",-3.87%
154,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,"307,189","318,162",-3.45%
155,NM,OR,RDM,Redmond,Roberts Field,P,N,"306,517","280,823",9.15%
156,EA,VA,ROA,Roanoke,Roanoke-Blacksburg Regional/Woodrum Field,P,N,"305,212","300,181",1.68%
157,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,N,"305,157","317,154",-3.78%
158,EA,VA,CHO,Charlottesville-Albemarle  ,Charlottesville-Albemarle,P,N,"295,930","274,767",7.70%
159,GL,WI,GRB,Green Bay,Green Bay-Austin Straubel International,P,N,"292,868","295,245",-0.81%
160,SO,AL,MOB,Mobile,Mobile Regional,P,N,"288,209","278,053",3.65%
161,EA,NJ,TTN,Trenton,Trenton Mercer,P,N,"278,436","389,598",-28.53%
162,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,"273,980","262,469",4.39%
163,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,"272,537","264,183",3.16%
164,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,"270,797","271,915",-0.41%
165,GL,WI,ATW,Appleton,Appleton International,P,N,"270,633","258,321",4.77%
166,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,"270,395","295,257",-8.42%
167,NE,ME,BGR,Bangor,Bangor International,P,N,"269,013","273,829",-1.76%
168,SW,TX,HRL,Harlingen,Valley International,P,N,"263,760","259,864",1.50%
169,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,"257,871","202,197",27.53%
170,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,"254,392","233,512",8.94%
171,NM,MT,GPI,Kalispell,Glacier Park International,P,N,"247,816","237,501",4.34%
172,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,"232,855","219,796",5.94%
173,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,"224,541","220,339",1.91%
174,GL,MI,TVC,Traverse City,Cherry Capital,P,N,"223,924","210,231",6.51%
175,SO,FL,MLB,Melbourne,Melbourne International,P,N,"220,360","220,393",-0.01%
176,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,"218,319","214,404",1.83%
177,EA,WV,CRW,Charleston,Yeager,P,N,"213,412","225,170",-5.22%
178,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,"211,615","234,101",-9.61%
179,SW,LA,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,P,N,"206,667","243,840",-15.24%
180,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,"206,330","213,225",-3.23%
181,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities,P,N,"204,926","216,426",-5.31%
182,GL,IN,EVV,Evansville,Evansville Regional,P,N,"204,352","203,350",0.49%
183,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,N,"199,421","202,104",-1.33%
184,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,"196,047","176,588",11.02%
185,WP,CA,MRY,Monterey,Monterey Regional,P,N,"192,136","180,605",6.38%
186,GL,IL,BMI,Bloomington-Normal  ,Central IL Regional Airport at Bloomington-Normal,P,N,"188,490","186,633",1.00%
187,NM,CO,DRO,Durango,Durango-La Plata County,P,N,"187,789","186,800",0.53%
188,NM,MT,GTF,Great Falls,Great Falls International,P,N,"176,730","182,635",-3.23%
189,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,"173,210","175,619",-1.37%
190,WP,CA,STS,Santa Rosa,Charles M Schulz - Sonoma County,P,N,"167,151","129,086",29.49%
191,NM,CO,EGE,Eagle,Eagle County Regional,P,N,"163,840","156,937",4.40%
192,CE,NE,LNK,Lincoln,Lincoln,P,N,"162,876","160,525",1.46%
193,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,"162,719","144,324",12.75%
194,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,"161,863","180,927",-10.54%
195,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,"157,161","176,895",-11.16%
196,AL,AK,BET,Bethel,Bethel,P,N,"155,791","158,824",-1.91%
197,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,"154,242","122,081",26.34%
198,GL,ND,MOT,Minot,Minot International,P,N,"150,634","181,328",-16.93%
199,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,"149,987","148,960",0.69%
200,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,"146,213","147,923",-1.16%
201,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,"146,127","181,105",-19.31%
202,EA,NY,SWF,Newburgh,Stewart International,P,N,"140,328","142,603",-1.60%
203,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,"139,583","155,936",-10.49%
204,EA,PA,UNV,State College,University Park,P,N,"134,312","139,124",-3.46%
205,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,"132,557","145,785",-9.07%
206,SW,LA,AEX,Alexandria,Alexandria International,P,N,"129,776","159,252",-18.51%
207,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,"129,622","131,600",-1.50%
208,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,"128,739","147,137",-12.50%
209,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,"127,881","124,747",2.51%
210,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,"126,197","155,952",-19.08%
211,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,"126,028","121,616",3.63%
212,GL,MN,DLH,Duluth,Duluth International,P,N,"124,284","131,128",-5.22%
213,GL,MI,MBS,Saginaw,MBS International,P,N,"122,469","119,004",2.91%
214,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,"120,151","143,353",-16.19%
215,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,"119,222","126,016",-5.39%
216,NM,CO,MTJ,Montrose,Montrose Regional,P,N,"116,272","102,756",13.15%
217,GL,MN,RST,Rochester,Rochester International,P,N,"112,864","114,657",-1.56%
218,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,"109,334","108,888",0.41%
219,NM,CO,HDN,Hayden,Yampa Valley,P,N,"107,339","93,896",14.32%
220,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,"106,110","109,237",-2.86%
221,SO,PR,PSE,Ponce,Mercedita,P,N,"105,804","98,830",7.06%
222,NM,MT,HLN,Helena,Helena Regional,P,N,"103,239","99,460",3.80%
223,GL,OH,LCK,Columbus,Rickenbacker International,P,N,"102,751","83,466",23.11%
224,SW,LA,MLU,Monroe,Monroe Regional,P,N,"102,342","114,170",-10.36%
225,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,"101,790","108,379",-6.08%
226,SW,TX,LRD,Laredo,Laredo International,P,N,"101,115","110,368",-8.38%
227,WP,CA,BFL,Bakersfield,Meadows Field,P,N,"100,433","120,966",-16.97%
228,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,"98,489","101,741",-3.20%
229,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,"94,047","94,874",-0.87%
230,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"93,269","90,413",3.16%
231,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,"93,076","80,163",16.11%
232,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,"92,805","103,123",-10.01%
233,WP,HI,MKK,Kaunakakai,Molokai,P,N,"92,560","90,122",2.71%
234,GL,OH,TOL,Toledo,Toledo Express,P,N,"92,522","94,044",-1.62%
235,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"92,485","97,820",-5.45%
236,SO,NC,JQF,Concord,Concord Regional,P,N,"90,338","73,727",22.53%
237,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,"89,318","89,836",-0.58%
238,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,"88,692","87,321",1.57%
239,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,"87,647","88,953",-1.47%
240,SW,TX,ABI,Abilene,Abilene Regional,P,N,"84,809","86,000",-1.38%
241,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,"83,920","84,136",-0.26%
242,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"83,404","81,019",2.94%
243,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,"79,988","32,589",145.44%
244,AL,AK,ADQ,Kodiak,Kodiak,P,N,"79,682","81,970",-2.79%
245,SW,TX,CLL,College Station,Easterwood Field,P,N,"78,907","89,844",-12.17%
246,NM,UT,SGU,St. George,St George Regional,P,N,"78,680","69,680",12.92%
247,NM,UT,PVU,Provo,Provo Municipal,P,N,"78,451","65,307",20.13%
248,NM,ID,SUN,Hailey,Friedman Memorial,P,N,"77,729","67,955",14.38%
249,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,"75,465","75,824",-0.47%
250,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,"74,742","79,233",-5.67%
251,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,"73,247","45,933",59.46%
252,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,"72,724","66,579",9.23%
253,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,"71,252","75,460",-5.58%
254,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,"70,993","63,747",11.37%
255,WP,CA,ACV,Arcata,Arcata,P,N,"69,732","55,168",26.40%
256,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,"68,879","64,602",6.62%
257,GL,ND,ISN,Williston,Sloulin Field International,P,N,"68,829","102,345",-32.75%
258,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,"68,415","77,654",-11.90%
259,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,"65,439","65,860",-0.64%
260,CE,MO,COU,Columbia,Columbia Regional,P,N,"65,014","64,707",0.47%
261,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,"64,578","67,419",-4.21%
262,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"64,481","66,503",-3.04%
263,SW,TX,ACT,Waco,Waco Regional,P,N,"64,356","62,882",2.34%
264,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"63,761","66,263",-3.78%
265,WP,NV,HND,Las Vegas,Henderson Executive,P,N,"63,445","53,551",18.48%
266,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,"63,104","71,356",-11.56%
267,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,"61,833","50,883",21.52%
268,AL,AK,OME,Nome,Nome,P,N,"60,655","59,929",1.21%
269,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,"60,277","63,842",-5.58%
270,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,"60,068","62,319",-3.61%
271,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,"58,695","61,782",-5.00%
272,NE,MA,ORH,Worcester,Worcester Regional,P,N,"57,800","59,624",-3.06%
273,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,"54,084","49,853",8.49%
274,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,"53,633","66,299",-19.10%
275,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,"53,576","69,130",-22.50%
276,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,"52,494","72,294",-27.39%
277,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"51,205","77,152",-33.63%
278,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,"51,088","51,859",-1.49%
279,SO,AL,DHN,Dothan,Dothan Regional,P,N,"49,411","46,792",5.60%
280,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,"47,457","55,017",-13.74%
281,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,"47,439","41,272",14.94%
283,GL,MI,SAW,Gwinn,Sawyer International,P,N,"45,462","42,578",6.77%
284,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"45,300","47,676",-4.98%
285,SO,SC,FLO,Florence,Florence Regional,P,N,"45,300","52,611",-13.90%
286,SO,GA,CSG,Columbus,Columbus,P,N,"44,813","51,790",-13.47%
287,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,"44,378","35,411",25.32%
289,AL,AK,HOM,Homer,Homer,P,N,"44,117","40,770",8.21%
290,WP,CA,RDD,Redding,Redding Municipal,P,N,"43,414","30,852",40.72%
291,WP,HI,LNY,Lanai City,Lanai,P,N,"43,275","40,599",6.59%
292,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,"43,005","43,506",-1.15%
293,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,"40,823","38,632",5.67%
294,NM,WY,COD,Cody,Yellowstone Regional,P,N,"40,340","33,278",21.22%
