Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 12 Enplanements,CY 11 Enplanements,percent_change
99,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,"744,685","521,437",42.81%
100,SO,FL,PNS,Pensacola,Pensacola Gulf Coast Regional,P,S,"740,852","750,190",-1.24%
101,CE,KS,ICT,Wichita,Wichita Mid-Continent,P,S,"735,270","740,675",-0.73%
102,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,"722,775","848,230",-14.79%
103,EA,NY,ISP,Islip,Long Island MacArthur,P,S,"667,603","781,396",-14.56%
104,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,"663,142","668,930",-0.87%
105,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,"657,074","655,294",0.27%
106,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,"649,691","596,832",8.86%
107,WP,HI,ITO,Hilo,Hilo International,P,S,"641,904","605,251",6.06%
108,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,"640,350","615,320",4.07%
109,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,"637,264","657,157",-3.03%
110,NE,VT,BTV,Burlington,Burlington International,P,S,"615,026","636,019",-3.30%
111,SO,MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,"611,592","615,622",-0.65%
112,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,"578,993","614,601",-5.79%
113,NM,WA,BLI,Bellingham,Bellingham International,P,S,"577,028","515,402",11.96%
114,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,"546,845","538,850",1.48%
115,SO,KY,LEX,Lexington,Blue Grass,P,S,"535,541","533,952",0.30%
116,SW,TX,MAF,Midland,Midland International,P,S,"497,193","474,423",4.80%
117,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,"491,806","431,874",13.88%
118,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,"487,435","487,474",-0.01%
119,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,"475,767","503,580",-5.52%
120,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,"453,007","423,288",7.02%
121,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"450,436","438,188",2.80%
122,NM,MT,BIL,Billings,Billings Logan International,P,S,"440,277","407,375",8.08%
123,SO,FL,PIE,Clearwater,St Petersburg-Clearwater International,P,S,"436,030","417,223",4.51%
124,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,"434,038","397,870",9.09%
125,SO,FL,ECP,Panama City,Northwest Florida Beaches International,P,S,"422,750","417,902",1.16%
126,GL,MI,FNT,Flint,Bishop International,P,S,"412,326","473,113",-12.85%
127,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,"411,735","382,386",7.68%
128,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,"407,124","393,504",3.46%
129,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,S,"406,318","396,403",2.50%
130,GL,IL,MLI,Moline,Quad City International,P,S,"396,460","412,470",-3.88%
131,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,"394,110","395,350",-0.31%
132,SO,NC,ILM,Wilmington,Wilmington International,P,S,"392,155","395,156",-0.76%
133,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,"389,284","392,815",-0.90%
134,SW,TX,HRL,Harlingen,Valley International,P,S,"375,472","359,166",4.54%
135,SO,FL,VPS,Valparaiso,Eglin AFB,P,S,"373,542","434,455",-14.02%
136,SO,FL,EYW,Key West,Key West International,P,S,"370,637","335,603",10.44%
137,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,"370,600","367,328",0.89%
138,GL,ND,FAR,Fargo,Hector International,P,S,"369,969","346,459",6.79%
139,CE,MO,SGF,Springfield,Springfield-Branson National,P,N,"364,689","349,091",4.47%
140,AL,AK,JNU,Juneau,Juneau International,P,N,"353,048","355,499",-0.69%
141,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,"350,066","428,332",-18.27%
142,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,"336,716","331,924",1.44%
143,SO,FL,TLH,Tallahassee,Tallahassee Regional,P,N,"331,296","305,686",8.38%
144,NM,WA,PSC,Pasco,Tri-Cities,P,N,"329,833","327,008",0.86%
145,SW,TX,MFE,McAllen,McAllen Miller International,P,N,"327,615","332,706",-1.53%
146,SO,NC,AVL,Asheville,Asheville Regional,P,N,"318,395","361,617",-11.95%
147,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,"315,877","320,961",-1.58%
148,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,N,"314,139","516,789",-39.21%
149,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,"313,969","322,903",-2.77%
150,SO,TN,CHA,Chattanooga,Lovell Field,P,N,"313,861","304,399",3.11%
151,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,"313,638","301,742",3.94%
152,NM,MT,MSO,Missoula,Missoula International,P,N,"303,886","292,501",3.89%
153,NE,ME,BGR,Bangor,Bangor International,P,N,"302,610","391,597",-22.72%
154,GL,IN,SBN,South Bend,South Bend,P,N,"299,592","305,386",-1.90%
155,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,"290,144","274,166",5.83%
156,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,"286,507","249,898",14.65%
157,GL,WI,GRB,Green Bay,Austin Straubel International,P,N,"282,973","352,157",-19.65%
158,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,"280,732","272,796",2.91%
159,SO,AL,MOB,Mobile,Mobile Regional,P,N,"277,432","288,461",-3.82%
160,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,"276,460","265,104",4.28%
161,NM,WY,JAC,Jackson,Jackson Hole,P,N,"274,343","279,065",-1.69%
162,EA,WV,CRW,Charleston,Yeager,P,N,"272,901","282,704",-3.47%
163,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,"271,740","267,631",1.54%
164,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,"255,406","259,445",-1.56%
165,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,"252,592","254,292",-0.67%
166,GL,IL,BMI,Bloomington-Normal ,Central IL Regional Airport at Bloomington-Normal,P,N,"240,181","284,852",-15.68%
167,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,"239,018","197,181",21.22%
168,EA,VA,CHO,Charlottesville-Albemarle ,Charlottesville-Albemarle Airport,P,N,"230,097","216,957",6.06%
169,NM,OR,RDM,Redmond,Roberts Field,P,N,"229,736","230,395",-0.29%
170,GL,WI,ATW,Appleton,Outagamie County Regional,P,N,"229,248","242,346",-5.40%
171,SW,LA,LFT,Lafayette,Lafayette Regional,P,N,"226,504","222,795",1.66%
172,GL,ND,MOT,Minot,Minot International,P,N,"222,188","151,424",46.73%
173,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,"222,060","228,367",-2.76%
174,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,"217,369","217,988",-0.28%
175,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,"215,448","230,556",-6.55%
176,SO,FL,MLB,Melbourne,Melbourne International,P,N,"215,300","207,829",3.59%
177,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,"214,892","221,256",-2.88%
178,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,"206,904","220,586",-6.20%
179,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,"200,836","186,341",7.78%
180,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,"200,727","184,331",8.89%
181,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,"200,400","190,716",5.08%
182,WP,CA,MRY,Monterey,Monterey Regional,P,N,"196,268","181,640",8.05%
183,NM,MT,GPI,Kalispell,Glacier Park International,P,N,"192,439","179,064",7.47%
184,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,"190,461","177,282",7.43%
185,SW,LA,AEX,Alexandria,Alexandria International,P,N,"189,476","188,286",0.63%
186,NM,MT,GTF,Great Falls,Great Falls International,P,N,"186,790","168,158",11.08%
187,NM,CO,DRO,Durango,Durango-La Plata County,P,N,"186,567","175,649",6.22%
188,EA,NY,SWF,Newburgh,Stewart International,P,N,"185,389","209,966",-11.71%
189,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,"183,501","219,753",-16.50%
190,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,"182,313","188,177",-3.12%
191,GL,MI,TVC,Traverse City,Cherry Capital,P,N,"179,879","170,977",5.21%
192,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,"179,128","169,352",5.77%
193,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,"174,358","170,118",2.49%
194,NM,CO,EGE,Eagle,Eagle County Regional,P,N,"167,914","189,276",-11.29%
195,GL,IN,EVV,Evansville,Evansville Regional,P,N,"164,767","169,426",-2.75%
196,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,"160,456","149,315",7.46%
197,GL,MN,DLH,Duluth,Duluth International,P,N,"158,569","146,620",8.15%
198,WP,CA,BFL,Bakersfield,Meadows Field,P,N,"152,456","148,347",2.77%
199,AL,AK,BET,Bethel,Bethel,P,N,"148,168","152,366",-2.76%
200,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,"147,794","71,316",107.24%
201,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,"145,243","152,582",-4.81%
202,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,"137,953","118,872",16.05%
203,EA,PA,UNV,State College,University Park,P,N,"137,599","144,054",-4.48%
204,CE,NE,LNK,Lincoln,Lincoln,P,N,"135,085","135,647",-0.41%
205,GL,MI,MBS,Saginaw,MBS International,P,N,"134,801","136,594",-1.31%
206,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,"127,517","148,634",-14.21%
207,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,"127,336","132,692",-4.04%
208,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,"125,873","124,085",1.44%
209,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,"120,449","135,965",-11.41%
210,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,"119,608","121,733",-1.75%
211,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,"112,493","139,698",-19.47%
212,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,"110,799","113,280",-2.19%
214,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,"109,185","112,749",-3.16%
215,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,"106,412","102,559",3.76%
216,WP,CA,STS,Santa Rosa,Charles M. Schulz - Sonoma County,P,N,"105,728","102,414",3.24%
217,EA,WV,HTS,Huntington,Tri-State/Milton J. Ferguson Field,P,N,"105,548","112,522",-6.20%
218,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,"105,494","108,172",-2.48%
219,GL,MN,RST,Rochester,Rochester International,P,N,"105,371","110,295",-4.46%
220,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,"103,136","102,086",1.03%
221,SW,TX,LRD,Laredo,Laredo International,P,N,"102,247","101,780",0.46%
222,SW,LA,MLU,Monroe,Monroe Regional,P,N,"101,034","107,290",-5.83%
223,NM,CO,HDN,Hayden,Yampa Valley,P,N,"99,969","106,534",-6.16%
224,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"99,955","90,806",10.08%
225,SO,FL,PGD,Punta Gorda,Punta Gorda,P,N,"99,897","147,698",-32.36%
226,GL,WI,LSE,La Crosse,La Crosse Municipal,P,N,"97,321","102,958",-5.48%
227,SO,PR,PSE,Ponce,Mercedita,P,N,"95,787","95,658",0.13%
228,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,"95,717","100,596",-4.85%
229,NM,MT,HLN,Helena,Helena Regional,P,N,"95,374","100,695",-5.28%
230,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,"88,571","98,982",-10.52%
231,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,"88,013","77,758",13.19%
232,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,"86,408","83,731",3.20%
233,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,"86,090","85,244",0.99%
234,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,"84,751","84,136",0.73%
235,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,"81,377","82,420",-1.27%
236,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,"79,889","73,821",8.22%
237,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,"79,531","36,971",115.12%
238,GL,OH,TOL,Toledo,Toledo Express,P,N,"78,757","81,127",-2.92%
239,AL,AK,ADQ,Kodiak,Kodiak,P,N,"78,749","81,149",-2.96%
240,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,"76,372","72,568",5.24%
241,NM,CO,MTJ,Montrose,Montrose Regional,P,N,"75,296","87,228",-13.68%
242,SW,TX,ABI,Abilene,Abilene Regional,P,N,"74,523","80,434",-7.35%
243,SO,GA,CSG,Columbus,Columbus,P,N,"74,336","78,718",-5.57%
244,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,"73,841","72,602",1.71%
245,WP,HI,MKK,Kaunakakai,Molokai,P,N,"72,421","82,136",-11.83%
246,SW,TX,CLL,College Station,Easterwood Field,P,N,"70,551","71,555",-1.40%
247,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"69,038","58,672",17.67%
248,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"68,222","65,193",4.65%
249,SO,SC,FLO,Florence,Florence Regional,P,N,"67,745","68,169",-0.62%
250,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"65,756","71,862",-8.50%
251,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,"63,149","56,044",12.68%
252,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"63,032","62,738",0.47%
253,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,"62,472","60,831",2.70%
254,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,"62,197","62,845",-1.03%
255,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,"61,987","62,071",-0.14%
256,WP,CA,ACV,Arcata,Arcata,P,N,"61,705","70,455",-12.42%
257,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,"60,372","61,006",-1.04%
258,SW,TX,ACT,Waco,Waco Regional,P,N,"59,836","61,164",-2.17%
259,AL,AK,OME,Nome,Nome,P,N,"59,807","58,892",1.55%
261,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,"57,673","55,902",3.17%
262,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,"56,815","61,325",-7.35%
263,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,"56,301","54,955",2.45%
264,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,"56,266","55,647",1.11%
265,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,"56,138","47,167",19.02%
266,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,"55,678","63,909",-12.88%
267,NM,UT,SGU,St. George,St George Municipal,P,N,"53,977","48,582",11.10%
268,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,"51,347","50,927",0.82%
269,NE,MA,MVY,Vineyard Haven,Marthas Vineyard,P,N,"50,484","49,095",2.83%
270,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,"49,213","45,486",8.19%
271,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,"48,474","45,518",6.49%
273,SW,NM,SAF,Santa Fe,Santa Fe Municipal,P,N,"47,847","43,329",10.43%
274,NM,ID,SUN,Hailey,Friedman Memorial,P,N,"47,734","50,885",-6.19%
275,SO,AL,DHN,Dothan,Dothan Regional,P,N,"46,452","46,388",0.14%
276,WP,HI,LNY,Lanai City,Lanai,P,N,"45,692","43,596",4.81%
278,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,"44,737","41,620",7.49%
280,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"43,837","37,711",16.24%
281,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"43,673","41,083",6.30%
284,CE,MO,COU,Columbia,Columbia Regional,P,N,"41,573","40,990",1.42%
286,GL,ND,ISN,Williston,Sloulin Field International,P,N,"40,667","28,202",44.20%
287,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,"40,102","37,048",8.24%
288,AL,AK,DLG,Dillingham,Dillingham,P,N,"39,877","30,406",31.15%
289,AL,AK,HOM,Homer,Homer,P,N,"39,167","35,863",9.21%
290,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,"38,856","35,860",8.35%
291,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,"38,836","37,248",4.26%
292,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,"38,547","39,134",-1.50%
293,GL,MI,SAW,Gwinn,Sawyer International,P,N,"38,302","52,326",-26.80%
294,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,"37,030","38,066",-2.72%
295,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,"36,975","40,074",-7.73%
297,AL,AK,AKN,King Salmon,King Salmon,P,N,"35,803","40,345",-11.26%
298,NM,CO,FNL,Loveland,Fort Collins-Loveland Municipal,P,N,"34,817","44,999",-22.63%
299,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,"34,652","37,262",-7.00%
